# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 （这里提供了一部分样本[2]~[2520]）
# 格式：[样本ID] 推理过程


[1307] 双曲线C:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1的一条渐近线为y=\frac{b}{a}x,联立\begin{cases}y^{2}=x\\y=\frac{b}{a}x\end{cases}消去y,得\frac{b^{2}}{a^{2}}x^{2}=x^{,}由x_{0}>1,知\frac{b^{2}}{a^{2}}<1'b^{2}<a^{2},所以e^{2}=\frac{c^{2}}{a^{2}}=\frac{a^{2}+b^{2}}{a^{2}}<2'因此1<e<\sqrt{2},

[1308] 由题意可知\sqrt{m^{2}+n^{2}+4n+4}+\sqrt{m^{2}+n^{2}-4m+2n+5}表示P(m,n)到F(0,-2)与点A(2,-1)的距离之和,根据抛物线的定义即可求得结果由抛物线x^{2}=-8y,可得焦点为F(0,-2),准线为l:y=2.\sqrt{m^{2}+n^{2}+4n+4}+\sqrt{m^{2}+n^{2}-4m+2n+5}=\sqrt{m^{2+(n+2)^{2}}+\sqrt{(m-2)^{2}+(n+1)^{2}}的几何意义是点F(m,n)到F(0,-2)与点A(2,-1)的距离之和,根据抛物线的定义可知,点P(m,n)到2-(-1)=3.

[1309] 由题意,m>0,实半轴长为a=1,虚半轴长为b=\sqrt{m}又2a=2\times2b,所以1=2\sqrt{m},m=\frac{1}{4}

[1311] 将直线l的方程y=kx+1代入双曲线C的方程2x^{2}-y^{2}=1后.整理得(k^{2}-2)x^{2}+2kx+2=0.依题意,直线l与双曲线C\begin{matrix}k^{2}-2\neq0,&A=4k^{2}-8k^{2}-2)>0\\-\frac{-2^{k}}{k^{2}-2}>0,&\frac{k^{2}}{2}>0,\end{matrix}解得k的取值范围是-2<k<-\sqrt{2}

[1312] 由\frac{x^{2}}{2}+\frac{y^{2}}{\lambda}=1,可得\frac{x2}{2}-\frac{y^{2}}{-\lambda}=1,\therefore此双曲线的焦距为2\sqrt{2-\lambda}

[1313] 设|AF_{1}|=2m(m>0),因为\overrightarrow{AF}_{1}=2\overrightarrow{F_{1}B},所以|BF_{1}|=m又因为\overrightarrow{AF}_{2}\cdot\overrightarrow{AF_{1}}=0,|F_{1}F_{2}|=2c,所以|AF_{2}|=\sqrt{|F_{1}F_{2}|^{2}-|AF_{1}|^{2}}=2\sqrt{c2-m^{2}}又因为|BF_{2}|=\sqrt{|AB|^{2}+|AF_{2}|^{2}}=\sqrt{4c^{2}+5m^{2}},且|AF_{1}|+|AF_{2}|=|BF_{1}|+|BF_{2}|=2a,所以2m+2\sqrt{c^{2}-m^{2}}=m+\sqrt{4c^{2}+5m^{2}},所以m+2\sqrt{c^{2}-m^{2}}=\sqrt{4c^{2}+5m^{2}}所以m^{2}+4c^{2}-4m^{2}+4m\sqrt{c^{2}-m^{2}}=4c^{2}+5m^{2},所以c^{2}=5m^{2},所以c=\sqrt{5}m又因为2a=2m+2\sqrt{c^{2}-m^{2}}=6m,所以a=3m,所以e=\frac{c}{a}=\frac{\sqrt{5}m}{3m}=\frac{\sqrt{5}}{3},

[1315] 椭圆\frac{x^{2}}{25}+\frac{y^{2}}{9}=1的左焦点为F_{1}如图,设右焦点为F_{2},则a=5由N是MF_{1}的中点,O为F_{1}F_{2}得中点,|ON|=3,故|MF_{2}|=2|ON|=6,又|MF_{1}|+|MF_{2}|=2a=10所以|MF_{1}|=4,

[1317] 因为\angleF_{1}PF_{2}=90^{\circ},所以|PF_{1}|^{2}+|PF_{2}|^{2}=|F_{1}F_{2}|^{2},因为|PF_{1}|+|PF_{2}|=2a,且|F_{1}F_{2}|=2c,可解的|PF_{1}||PF_{2}|=2a^{2}-2c^{2}.因为2a=|PF_{1}|+|PF_{2}|\geqslant2\sqrt{|PF_{1}|||PF_{2}|}=2\sqrt{2a^{2}-2c^{2}},整理的2c^{2}\geqslanta^{2},即e^{2}=\frac{c}{a^{2}}\geqslant\frac{1}{2},所以e\geqslant\frac{\sqrt{2}}{2}

[1318] 在方程(x-1)^{2}+(y-1)^{2}=2中,令y=0得x=1,0.令x=0,得y=1,0.据题意得c=1,b=1所以a=\sqrt{2},e=\frac{c}{a}=\frac{\sqrt{2}}{2}

[1319] \because渐近线是2x\pm\sqrt{3}y=0设双曲线方程为(2x+\sqrt{3}y)(2x-\sqrt{3}y)=\lambda(\lambda\neq0)即4x^{2}-3y^{2}=\lambda将(6,6)代入得4\times36-3\times36=\lambda\therefore\lambda=36\therefore双曲线的标准方程是\frac{x^{2}}{9}-\frac{y^{2}}{12}=

[1321] 根据双曲线方程可知,双曲线的两个焦点刚好是两个圆的圆心.若|PM|-|PN|取最大值,则只需|PM|_{\max}-|PN|_{\min}即可.由双曲线定义及点与圆的位置关系即可求解.双曲线x^{2}-\frac{y^{2}}{15}=1,P是双曲线右支上的一点所以|PF_{1}|-|PF_{2}|=2a=2双曲线的两个焦点分别为(-4,0),(4,0)则这两点刚好是两圆(x+4)^{2}+y^{2}=9和(x-4)^{2}+y^{2}=1的圆心,则两个圆的半径分别为r_{1}=3,r_{2}=1所以由几何性质可知|PM|_{\max}=|PF_{1}|+r_{1}=|PF_{1}|+3同理|PN|_{\min}=|PF_{2}|-r_{2}=|PF_{2}|-1所以|PM|-|PN|的最大值即为|PM|_{\max}-|PN|_{\min}=(|PF_{1}|+3)-(|PF_{2}|-1)=|PF_{1}|-|PF_{2}|+4=2+4=6所以|PM|-|PN|的最大值为6.

[1323] 根据椭圆方程,得出B(0,b),再由直线FB的斜率,求出b,由焦点F(1,0)得出c=1,进而可求出a,即可得出椭圆方程.因为椭圆C:\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)的右焦点F(1,0),点B是椭圆C的上顶点所以B(0,b),c=1,又直线FB的斜率为-\sqrt{3},所以\frac{b-0}{0-1}=-\sqrt{3},解得b=\sqrt{3},因此a=\sqrt{b^{2}+c^{2}}=2所以椭圆C的方程为\frac{x^{2}}{4}+\frac{y^{2}}{3}=1.

[1324] 由\triangleABF_{2}的周长为12知a=3,再根据离心率得c=\sqrt{2},,进而可得答案[详解]因为\triangleABF_{2}的周长为4a,故a=3,由\frac{c}{a}=\frac{\sqrt{2}}{3}得c=\sqrt{2}故b^{2}=a^{2}-c^{2}=7,所以椭圆C的方程为\frac{x^{2}}{9}+\frac{y^{2}}{7}=

[1326] 由所过两点坐标即可设出抛物线方程,待定系数即可求得结果因为抛物线经过点(-1,\frac{1}{2}),(2,2),即抛物线经过第一、二象限故设抛物线方程为x^{2}=2py,(p>0),代入点(2,2),可得4p=4,即p=1则抛物线方程为:x^{2}=2y.

[1330] 过P作准线l的垂线,垂足为M,则|PM|=|PF|,在Rt\trianglePKM中,\because|PK|=\sqrt{2}|PF|=\sqrt{2}|PM|\thereforePM=KM=4,\thereforey_{0}=4-\frac{p}{x},把P(4,44-\frac{p}{2})代入抛物线方程x^{2}=2py,解得p=4.\thereforey_{0}=4-2=2.效答家为2可能,本题主要考查了抛物线的定义及方程思想,考查计算能力及转化能力,属于中档题

[1331] 设|BF_{1}|=m,则由双曲线定义可得|BF_{2}|=2a+m,|AF_{1}|=2a,|AF_{2}|=4a,由\sin\frac{\angleABF_{2}}{2}=\frac{1}{4}可得m=6a,再在\triangleBF_{1}F_{2}中根据余弦定理即可列出式子求出离心率设|BF_{1}|=m,则由双曲线定义可得|BF_{2}|=2a+m,|AF_{1}|=|AB|-|BF_{1}|=|BF_{2}|-m=2a,则|AF_{2}|=4a,则\sin\frac{\angleABF_{2}}{2}=\frac{2a}{2a+m}=\frac{1}{4},解得m=6a,从而|BF_{2}|=8a在\DeltaBF_{1}F_{2}中,|F_{1}F_{2}|^{2}=|BF_{1}|^{2}+|BF_{2}|^{2}-2|BF_{1}|\cdot|BF_{2}|\cos\angleF_{1}BF_{2}即4c^{2}=36a^{2}+64a^{2}-2\cdot6a\cdot8a\cdot(1-2\sin^{2}\frac{\angleABF_{2}}{2}),解得e=\frac{c}{a}=2.

[1333] 由双曲线的定义,得|PF_{1}|=|PF_{2}|-2a=2c-2a.因为\frac{S_{\trianglePF_{1}F_{2}}}{S_{\triangleOF_{1}F_{2}}=\frac{|PF_{1}|}{|QF_{1}|}=\frac{2}{3},所以|QF_{1}|=3(c-a),故|QF_{2}|=2a+|QF_{1}|=3c-a.根据余弦定理得\cos\anglePF_{1}F_{2}=\frac{|PF_{1}2}{2|}|F_{1}F_{2}|^{2}-\cos\angleQF_{1}F_{2}=\frac{|QF_{1}|^{2}+|F_{1}F_{2}}{2|QF_{1}|\cdot|}又\cos\anglePF_{1}F_{2}=-\cos\angleQF_{1}F_{2}所以5c^{2}-12ac+7a^{2}=0,即5e^{2}-12e+7=0解得e=\frac{7}{5}或e=1(舍去)

[1334] 设t=y,则\sqrt{(\frac{y^{2}}{6}-\frac{3}{2}}\frac{x}{2}+y^{2}+\sqrt{(\frac{y^{2}-3)^{2}+(y-2)^{2}}{6}-3)表示点P(\frac{y^{2}}{6},y)到点F(\frac{3}{2},0)与点A(3,2)的距离之和.因为点P(\frac{y^{2}}{6},y)在抛物线C:y^{2}=6x上,且F为C的焦点,如图所示:=-\frac{3}{2}的距离为d_{1}所以\sqrt{(\frac{t^{2}-3}{6}-\frac{3}{2})^{2}+t^{2}}+\sqrt{(\frac{t^{2}-3)^{2}+(t-2)^{2}}{6}}=|PF|+|PA|=d+|PA|\geqslantd_{1}=3+\frac{3}{2}=\frac{9}{2}

[1335] \because双曲线x^{2}-\frac{y^{2}}{15}=1的a=1,c=4,则双曲线上的点到焦点的最近距离为3,若双曲线x^{2}-\frac{y^{2}}{15}=1上一点P到它的一个焦点的距离等于4,点P到另一个焦点的距离等于4+2=6,或4-2=2(舍),

[1336] 由题可令A(x,y)(x>0,y>0).又|AB|=2,可知y=1,代入椭圆方程可得x=2,再将A(2,1)代入抛物线方程可求得p=\frac{1}{4}.故本题应填\frac{1}{4}

[1338] 椭圆\frac{x^{2}}{4}+y^{2}=1焦点在x轴上,|PF_{1}|+|PF_{2}|=2a=4,|F_{1}F_{2}|^{2}=2\sqrt{3}由余弦定理可知:|F_{1}F_{2}|^{2}=|PF_{1}|^{2}+|PF_{2}|^{2}-2|PF_{1}|\cdot|PF_{2}|\cos\angleF_{1}PF_{2}=12则|\overrightarrow{PF_{1}}+\overrightarrow{PF_{2}}^{2}=|\overrightarrow{PF_{1}}^{2}+2\overrightarrow{PF_{1}}\cdot\overrightarrow{PF_{2}}+|\overrightarrow{PF_{2}}^{2}|=12,\therefore2|PF_{1}||PF_{2}|\cos\angleF_{1}PF_{2}=0,则\cos\angleF_{1}PF_{2}=0\therefore\angleF_{1}PF_{2}=\frac{\pi}{2}

[1339] 如图,不妨设F为双曲线C:\frac{x2}{4}-\frac{y^{2}}{5}=1的右焦点,P为第一象限点由双曲线方程可得,a^{2}=4,b^{2}=5,则c=3,则以O为圆心,以3为半径的圆的方程为x^{2}+y^{2}=9联立\begin{cases}x^{2}+y2=9\\\frac{x^{2}}{4}-\frac{y^{2}}{5}=1\end{cases},解得P(\frac{2\sqrt{14}}{3},\frac{5}{3}),\thereforeS_{\triangleOPF}=\frac{1}{2}\times3\times\frac{5}{3}=\frac{5}{2}b答安为

[1340] a^{2}=5,b^{2}=4,c^{2}=a^{2}+b^{2}=9,c=3,不妨设F为右焦点,设P(x_{0},y_{0})在第一象限且在直线y=\frac{2\sqrt{5}}{5}x上,所以y_{0}=\frac{2\sqrt{5}}{5}x_{0}\textcircled{1}解\textcircled{1}\textcircled{2}得y_{0}=2,从而\DeltaOPF的面积为\frac{1}{2}\times|OF|\times|y_{0}|=\frac{1}{2}\times3\times2=3

[1341] 设椭圆的长半轴长和双曲线的实半轴长分别为a_{1},a_{2},焦半径为c,设PF_{1}>PF_{2}则有PF_{1}+PF_{2}=2a_{1},PF_{1}-PF_{2}=2a_{2},解得PF_{1}=a_{1}+a_{2},PF_{2}=a_{1}-a_{2},由余弦定理得F_{1}F_{2}^{2}=PF_{1}^{2}+PF_{2}^{2}-2PF_{1}PF_{2}\cos\frac{\pi}{3},整理得4c^{2}=a_{1}^{2}+3a_{2}^{2}e_{1}^{2}+p_{2}^{2}=\frac{c^{2}}{a_{1}^{2}}+\frac{c^{2}}{a_{2}^{2}}=\frac{a_{1}^{2}+3a_{2}^{2}}{4a_{1}^{2}}+\frac{a_{1}^{2}+3a_{2}^{2}}{4a_{2}^{2}}=1+\frac{3a_{2}^{2}}{4a_{1}^{2}}+\frac{a_{1}^{2}}{4a_{2}^{2}}\geqslant1+\frac{\sqrt{3}}{2},椭圆和双曲线的离心率的平方和的最小值为_{1}+\frac{\sqrt{3}}{2}

[1342] 设A(x,y),则|AB|=\sqrt{(x+1)^{2}+y^{2}}=\sqrt{x^{2}+4x+1},而|AF|=x+\frac{1}{2}.所以(\frac{2|AB|}{2|AF|+1})^{2}=\frac{x2+4x+1}{x^{2}+2x+1}=1+\frac{2x}{x^{2}+2x+1}=1+\frac{1}{2}+\frac{1}{2x}+1^{\leqslant}1+\frac{1}{2\sqrt{\frac{x}{2}\cdot\frac{1}{2}}+1}=\frac{3}{2},当且仅当x=1时等号成立,所以\frac{2|AB|}{2|AF|+1}取最大值时x=1,此时|AB|=\sqrt{1+4+1}=\sqrt{6}

[1343] 双曲线C_{1}:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)的渐近线方程是y=\pm\frac{1}{2}x,所以\frac{b}{a}=\frac{1}{2}由过点(4,\sqrt{3})得:\frac{16}{a^{2}}\cdot\frac{3}{b^{2}}=1由\begin{cases}\frac{b}{a}=\frac{1}{2}\\\frac{16}{a^{2}}-\frac{3}{b^{2}}=1\end{cases},得a=2,b=1双曲线C_{1}的方程为\frac{x^{2}}{4}-y^{2}=1.

[1344] 根据题意,设出点F(C,0)根据题意过,过F且与双曲线C的一条渐近线平行的直线l:y=\frac{b}{a}(x-c)\therefore\begin{cases}y=\frac{b}{a}(x-c)\\y=-\frac{b}{a}\end{cases}\therefore\begin{cases}x=\frac{c}{2}\\y=\frac{bc}{2a}\end{cases},因为A_{1},A_{2}的坐标分别是(a,0)(-a,0)则P恰好在以A_{1}A_{2}为直径的圆上,|OP|=a,即4a^{4}=a^{2}c^{2}+b^{2}c^{2}=a^{2}c^{2}+(c^{2}-a^{2})c^{2}\thereforee=\sqrt{2},故填写\sqrt{2}

[1345] 根据双曲线的渐近线方程为:y=\pm\frac{b}{a}x',结合题意得到\angleAFO=30^{\circ},即得到a,c的关系式,进而得到a,b的关系式,即可得到答案.由题意知双曲线的方程为:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0),\therefore双曲线的渐近线方程为:y=\pm\frac{b}{a}x\because\angleACB=120^{\circ},根据圆周角是圆心角的一半,得到\angleAFB=60^{\circ}又有对称关系得到\angleAFO=30^{\circ}\thereforec=2a,又\becauseb^{2}=c^{2}-a^{2}\therefore\frac{b}{a}=\sqrt{3}\therefore双曲线的渐近线方程为:y=\pm\sqrt{3}x

[1350] 令x^{2}-4y^{2}=0,解得y=\pm\frac{1}{2}x,故k=\pm\frac{1}{2}.

[1351] 由双曲线方程可知a^{2}=4,b^{2}=m\thereforea=2,b=\sqrt{m},由虚轴长是实轴长的2倍可知\sqrt{m}=4\thereforem=16

[1352] 由题意有A(-a,0),B(0,1),则|AB|=\sqrt{1+a^{2}},k_{AB}=\frac{1}{a}设直线l为椭圆的一条与AB平行的切线,其方程设为:y=\frac{1}{a}x+m由\begin{cases}y=\frac{1}{a}x+m\\x^{2}+a^{2}y^{2}=a^{2}\end{cases}得:2x^{2}+2mx+a^{2}m^{2}-a^{2}=0;\therefore\triangle=(2am)^{2}-4\times2\times(a^{2}m^{2}-a^{2})=0,得m=\pm\sqrt{2};根据题意取_{m}=-\sqrt{2}切线l到直线AB的距离为:d=\frac{\sqrt{2}+1}{\sqrt{1+\frac{1}{a^{2}}};\therefore面积的最大值为(S_{ABM})_{\max}=\frac{1}{2}\sqrt{a^{2+1}}{\sqrt{2}+1}{\sqrt{\frac{1}{a^{2}}+1}}=2(\sqrt{2}+1),得a=4设|NF_{1}|=m,|NF_{2}|=n,则m+n=8;则\frac{3|NF_{1}|\cdot|NF_{2}|}{|NF_{1}|+4|NF_{2}|}=\frac{3mn}{m+4n}=\frac{3}{\frac{1}{n}+\frac{4}{m}}=\frac{3\times8}{(m+n)(\frac{1}{n}+\frac{c}{7}}-=\frac{3\times8}{1+4+\frac{m}{n}+\frac{4n}{m}}\leqslant\frac{24}{9}=\frac{8}{3},当且仅当m=\frac{8}{3}时取等号;

[1353] 双曲线x^{2}-\frac{y^{2}}{24}=1中|F_{1}F_{2}|=10,P是双曲线与椭圆\frac{x^{2}}{49}+\frac{y^{2}}{24}=1的一个公共点\therefore|PF_{1}|-|PF_{2}|=2,|PF_{1}|+|PF_{2}|=14,\therefore|PF|=8,|PF_{2}|=6\thereforeAPF_{1}F_{2}是直角三角形,面积为24

[1354] 抛物线x^{2}=-2py(p>0)的焦点坐标为(0,-\frac{p}{2})\because抛物线x^{2}=-2y中,2p=2,解得p=1,\therefore抛物线x^{2}=2y的焦点坐标为(0,-\frac{1}{2})

[1356] 由椭圆方程\frac{x^{2}}{6}+\frac{y^{2}}{2}=1可知,a^{2}=6,b^{2}=2,则c^{2}=a^{2}-b^{2}=4即椭圆的右焦点的坐标为(2,0),抛物线y^{2}=mx的焦点坐标为(\frac{m}{4},0)\because抛物线的焦点与椭圆的右焦点重合,\therefore\frac{m}{4}=2,即m=8,

[1357] 记PF_{2}的中点为M,根据向量数量积为0得到OM与PF_{2}的位置关系,再结合三角形中位线以及直角三角形中的勾股定理求解出|PF_{1}|\cdot|PF_{2}|的值,则\triangleF_{1}PF_{2}面积可求.如图所示:记PF_{2}的中点为M,因为(\overrightarrow{OP}+\overrightarrow{OF}_{2})\cdot\overrightarrow{PF_{2}}=0,所以2\overrightarrow{OM}\cdot\overrightarrow{PF_{2}}=0,所以OM\botPF_{2}因为O,M为F_{1}F_{2},PF_{2}的中点,所以OM//PF_{1},所以PF_{1}\botPF_{2}.所以\begin{cases}|PF_{1}|^{2}+|PF_{2}|^{2}=|F_{1}F_{2}|^{2}=12\\|PF_{1}|+|PF_{2}|=2a=4\end{cases},所以|PF_{1}|\cdot|PF_{2}|=\frac{(|PF_{1}+|PF_{2}|)^{2}-(|PF_{1}|^{2}+|PF_{2}|^{2})}{}=2所以S_{\DeltaF}PF_{F}=\frac{|PF_{1}||PF_{2}|}{=1,}^{2}

[1359] \because双曲线渐近线为bx\pmay=0,与圆x^{2}+(y-2)^{2}=1相交\therefore圆心到渐近线的距离小于半径,即\frac{2b}{\sqrt{a^{2}+b^{2}}}\therefore3b^{2}<a^{2},\thereforec^{2}=a^{2}+b^{2}<\frac{4}{3}a^{2},\thereforee=\frac{c}{a}<\frac{2\sqrt{3}}{3}<e<\frac{2\sqrt{3}}{3}

[1360] 设点P为双曲线\frac{x^{2}}{4}-y^{2}=1右支上的点,且|F_{1}F_{2}|=2\sqrt{5}由双曲线定义,可知|PF_{1}|-|PF_{2}|=2a=4则在\trianglePF_{1}F_{2}中,由余弦定理可知:|F_{1}F_{2}|^{2}=|PF_{1}|^{2}+|PF_{2}|^{2}-2|PF_{1}||PF_{2}|\cos\angleF_{1}PF_{2}即|F_{1}F_{2}|^{2}=(|PF_{1}|-|PF_{2}|)^{2}+2|PF_{1}||PF_{2}|-2|PF_{1}||PF_{2}|\cos\angleF_{1}PF_{2}即(2\sqrt{5})^{2}=4^{2}+2|PF_{1}||PF_{2}|-2|PF_{1}||PF_{2}|60^{\circ},解得|PF_{1}||PF_{2}|=4则_{S_{\DeltaF_{1}PF_{2}}=\frac{1}{2}|PF_{1}||PF_{2}|\cdot\sin\angleF_{1}PF_{2}=\frac{1}{2}\times4\times\frac{\sqrt{3}}{2}=\sqrt{3}

[1361] 先确定焦点位置,即抛物线y^{2}=8x是焦点在x轴正半轴的标准方程,再求出p=2,可得到焦点坐标(2,0)

[1362] 根据曲线的方程求出y的导函数,因为曲线的一条切线方程为6x-y-9=0,令导函数等于6,求出x的值即为切点的横坐标,把求出的x的值代入曲线解析式即可求出切点的纵坐标,写出切点坐标即可.羊解】由y=x^{2},得到y'=2x.因为切线方程为6x-y-9=0,则曲线的一条切线的斜率为6,得到y'=2x=6解得x=3,把x=3代入y=x^{2},得y=9,则切点的坐标为(3,9).

[1363] 利用椭圆方程求出左焦点F(-1,0),右焦点F_{1}(1,0),利用椭圆方程的定义求出|PF|=4-|PF_{1}|,进而得到|PA|-|PF|=|PA|+|PF_{1}|-4,要想|PA|-|PF|最小,只需|PA|+|PF_{1}|最小,数形结合求出最小值.[详解]因为a^{2}=4,b^{2}=3,所以c^{2}=a^{2}-b^{2}=1,所以F(-1,0),右焦点F_{1}(1,0),如图,点P是椭圆上任意一点,所以|PF|+|PF_{1}|=2a=4,故|PF|=4-|PF_{1}|,则|PA|-|PF|=|PA|-(4-|PF_{1}|)=|PA|+|PF_{1}|-4,要想|PA|-|PF|最小,只需|PA|+|PF_{1}|最小,显然当A,P,F_{1}三点共线时,|PA|+|PF_{1}|最小,此时|PA|+|PF_{1}|_{\min}=2,故|PA|-|PF|_{\min}=|PA|+|PF_{1}|-4=-2

[1364] 双曲线\frac{y^{2}}{a^{2}}-\frac{x^{2}}{b^{2}}=1(a,b>0)的渐近线方程为y=\pm\frac{a}{b}x,由题意可得\frac{a}{b}=2,抛物线x^{2}=4\sqrt{10}y的焦点为(0,\sqrt{10})可得a^{2}+b^{2}=c^{2}=10,解得a=2\sqrt{2},b=\sqrt{2}则双曲线的方程为\frac{y^{2}}{8}-\frac{x^{2}}{2}=1

[1366] 先利用圆与圆的位置关系,直线与圆的位置关系找到动点M的几何条件,再根据抛物线的定义确定动点M的轨迹,最后利用抛物线的标准方程写出轨迹方程.详解】由题意知,点M到定点F(-2,0)的距离减去1等于到定直线l:x=1的距离即点M到定点F(-2,0)的距离等于到定直线l:x=2的距离由抛物线的定义知,点M的轨迹方程为抛物线且焦点坐标为F(-2,0)准线方程为t:x=2,即该点的轨迹方程y^{2}=-8x.

[1367] 设A(x_{1},y_{1}),B(x_{2},y_{2})\becauseA,B在抛物线,\thereforey_{1}^{2}=4x_{1},y_{2}^{2}=4x_{2}.两式作差可得:y_{1}^{2}-y_{2}=4(x_{1}-x_{2})即4(x_{1}-x_{2})=(y_{1}-y_{2})(y_{1}+y_{2})即AB的斜率k=\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=\frac{4}{y_{1}+y_{2}}\because线段AB的中点坐标为(\frac{1}{2},.\frac{y_{1}+y_{2}}{2}=-1则y_{1}+y_{2}=-2\thereforek=\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=\frac{4}{y_{1}+y_{2}}=即直线l的斜率为-2则对应的方程为y+1=-2(x-\frac{1}{2})y=-2x

[1368] 思路一:令y=2y_{2},则t:x+2y-4=0,由直线t:y=-\frac{1}{2}x+2可知纵向距离最小,设与直线l平行的切线方程为:y=-\frac{1}{2}x+m,求出相切时m的值,即可得出答案思路二:同思路一,知纵向距离最小,设与直线(平行且与椭圆相切的直线切于点P(x_{0},y_{0}),易知切线方程为:\frac{x_{0}x}{2}+y_{0}y=1,其斜率k=-\frac{x_{0}}{2y_{0}}=-\frac{1}{2},得x_{0}=y_{0},代入椭圆方程即可求得P点的坐标,从而得出答案.解】解法一:令y=2y_{2},则t:x+2y-4=0,由直线l:y=-\frac{1}{2}x+2可知纵向距离最小,设与直线l平行的切线方程为:y=-\frac{1}{2}x+m,与椭圆x^{2}+2y^{2}-2=0联立,得3x^{2}-4mx+4m^{2}-4=0,由A=0得,m=\frac{\sqrt{6}}{2},故(|x_{1}-x_{2}|+|y_{1}-2y_{2}|)_{\min}=2-\frac{\sqrt{6}}{2}解法二:同解法一,知纵向距离最小,设与直线l平行且与椭圆相切的直线切于点P(x_{0},y_{0}),易知切线方程为:\frac{x_{0}x}{2}+y_{0}y=1,其斜率k=-\frac{x_{0}}{2y_{0}}=-\frac{1}{2}\thereforex_{0}=y_{0},代入椭圆方程得,x_{0}=y_{0}=\frac{\sqrt{6}}{3},即P(\frac{\sqrt{6}}{3},\frac{\sqrt{6}}{3}),此时点Q(\frac{\sqrt{6}}{3},2-\frac{\sqrt{6}}{6})故(|x_{1}-x_{2}|+|y_{1}-2y_{2}|)_{\min}=2-\frac{\sqrt{6}}{2}

[1370] 双曲线\frac{x^{2}}{9}-\frac{y^{2}}{16}=1的渐近线方程为y=\pm\frac{4}{3}x,即4x\pm3y=0,则点(2,0)到4x-3y=0的距离^{d=\frac{8}{\sqrt{4^{2}+(-3)^{2}}}}=\frac{8}{5}

[1371] 由双曲线x^{2}-y^{2}=4可得其渐近线的方程为y=\pmx\textcircled{1}当直线y=m(x-1)与双曲线的渐近线y=\pmx平行时,即m=\pm1时,直线与双曲线有且只有个公共点,满足题意;\textcircled{2}当直线y=m(x-1)与右支相切时,直线与双曲线有且只有一个交点.联立方程组\begin{cases}y=m(x-1)\\x^{2}-y^{2}=4\end{cases},整理得(m^{2}-1)x^{2}-2m^{2}x+m^{2}+4=0,令A=4m^{4}-4(m^{2}-1)(m^{2}+4)=0,得3m^{2}=4,解得m=\pm\frac{2\sqrt{3}}{3}综上可知,实数m的取值集合\pm1,\pm\frac{2\sqrt{3}}{3}

[1373] x^{2}=4y\Rightarrowy=\frac{1}{4}x^{2}\Rightarrowy=\frac{1}{2}x.设A(x_{1},y_{1}),B(x_{2},y_{2}),P(m,-1),则x_{1}^{2}=4y_{1},x_{2}^{2}=4y_{2}则切线PA:y-y_{1}=\frac{1}{2}x_{1}(x-x_{1})\Rightarrow2y-2y_{1}=x_{1}x-x_{1}^{2}\Rightarrow2y-2y_{1}=x_{1}x-4y_{1}\Rightarrow2y+2y\because切线PA过P,\thereforemx_{1}=2y_{1}-2,同理,mx_{2}=2y_{2}-2,\therefore直线AB方程为:mx=2y-2.由\begin{cases}mx=2y-2\\x^{2}=4y\end{cases}得,y^{2}-(2+m^{2})y+1=0则y_{1}+y_{2}=\frac{4y}{2+m^{2},}x_{1}+x_{2}=\frac{2y_{1}-2}{m}+\frac{2y_{2}-2}{m}=\frac{2(2+m^{2})-4}{m}=\frac{2m^{2}}{m}=2m'则Q(m,1+\frac{m2}{2}),则|_{PQ|}=\sqrt{(\frac{2}{2}+2)^{2}}=\frac{m^{2}}{2}+2\geqslant2即|PO|最小值为2.故答客为:2.

