# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 ([2]~[7756])
# 格式：[样本ID] 推理过程


[3266] 根据题意可得P(c,\frac{b^{2}}{a}),过Q作QE\botx轴,垂直为点E,设Q(x_{0},y_{0}),根据三角形相似可得到点Q坐标,再将点Q坐标代入椭圆方程,结合b^{2}=a^{2}-c^{2},可得解详解】由PF_{2}\botx轴,可知点P坐标为P(c,\frac{b^{2}}{a})如图所示,过Q作QE\botx轴,垂直为点E,设Q(x_{0},y_{0})\because\frac{|PF_{1}|}{|F_{1}Q|}=4,\therefore\frac{|F_{1}F_{2}|}{|EF_{1}|}=\frac{|PF_{2}|}{|QE|}=4,\therefore|EF|=\frac{|F_{1}F_{2}|}{4}=\frac{2c}{4}=\frac{c}{2},\thereforex_{0}=-c-\frac{c}{2}=-\frac{3c}{2}又\becausey_{0}=-|QE|=-\frac{|PF_{2}|}{4}=-\frac{b^{2}}{4a},所以点Q坐标为(-\frac{3c}{2},-\frac{b^{2}}{4a})将点Q代入椭圆方程,得\frac{9c^{2}}{4a^{2}}+\frac{b^{2}}{16a^{2}}=1,即\frac{9c^{2}}{4a^{2}}+\frac{a2-c^{2}}{16a^{2}}=1解得:\frac{c^{2}}{a^{2}}=\frac{3}{7},即e=\frac{c}{a}=\frac{\sqrt{21}}{7}

[3268] 设抛物线的方程为x^{2}=2py(p>0),则有4^{2}=2p\cdot1,即2p=16,于是抛物线的方程为x^{2}=16y其准线为y=-4,准线与对称轴的交点坐标是(0,-4)青)本题考查抛物线的标准方程,性质和图像,属于基础题

[3269] 过点A,B,P分别作抛物线准线y=.3的垂线,垂足为C,D,Q,据抛物线定义,得|AF|+|BF|=|AC|+|BD|=2|PQ|=8.

[3270] 依题意a=2,b=\sqrt{3},c=\sqrt{7}设|PF_{1}|=m,|PF_{2}|=n,不妨设m>n,|F_{1}F_{2}|=2c=2\sqrt{7}设\angleF_{1}PF_{2}=\theta\in(0,\pi)根据双曲线的定义、余弦定理、三角形的面积公式得s\theta,\begin{cases}(m-n)^{2}=16\\28=m^{2}+n^{2}-2mm\cos\theta,\\mn\sin\theta=2\sqrt{3}\end{cases}.\begin{cases}m2+n2-2m=16\\28=m^{2}+n-2m\cos\theta\\m\sin\theta=2\sqrt{3}\end{cases}\begin{matrix}mm=\frac{2\sqrt{3}}{m\theta}\\12=2mn(1-\cos\theta)&m=\frac{2\sqrt{3}}{8}\end{matrix}=12=2\cdot\frac{2\sqrt{3}}{\sin\theta}\cdot(1-\cos\theta)'\sqrt{3}\sin\theta+\cos\theta=1_{2\sin(\theta+\frac{\pi}{6})=1,\sin(\theta+\frac{\pi}{6})}=\frac{1}{2}由于0<\theta<\pi,\frac{\pi}{6}<\theta+\frac{\pi}{6}<\frac{7\pi}{6},所以\theta+\frac{\pi}{6}=\frac{5\pi}{6},\theta=\frac{2\pi}{3},所以\angleF_{1}PF_{2}=\frac{2\pi}{3}

[3271] 由渐近线方程y=\pm\frac{b}{a}x'-条渐近线的斜率为\sqrt{2},所以\frac{b}{a}=\sqrt{2},求得离心率解)双曲线\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}==1(a>0,b>0)的一条渐近线的斜率为\sqrt{2},所以\frac{b}{a}=\sqrt{2},双曲线的离心率e=\sqrt{1+\frac{b^{2}}{a^{2}}}=\sqrt{3}

[3272] 根据题意,椭圆C:\frac{x^{2}}{25}+\frac{y^{2}}{9}=1,其中a=\sqrt{25}=5,b=\sqrt{9}=3,则c=\sqrt{25-9}=4,A是C上任意一点,则\DeltaAF_{1}F_{2}的周长l=|AF_{1}|+|AF_{2}|+|F_{1}F_{2}|=2a+2c=10+8=18;

[3273] 因为椭圆C:\frac{x2}{2}+y^{2}=1的右准线为x=2,所以A点的横坐标为2,设B(x_{1},y_{1}),又\overrightarrow{FA}=3\overrightarrow{FB},则2-1=3(x_{1}-1),故x_{1}=\frac{4}{3}所以y_{1}^{2}=1-\frac{16}{2\times9}=\frac{1}{9},故|y_{1}|=\frac{1}{3},故|y_{A}|=3\times\frac{1}{3}=1,所以|\overrightarrow{AF}|=\sqrt{(2-1)^{2}+1}=\sqrt{2}.

[3274] 抛物线y^{2}=2px的焦点F(\frac{p}{2},0),准线方程为x=-\frac{p}{2},设A(x_{1},y_{2}),B(x_{2},y_{2})则直线AB的方程为y=x-\frac{p}{2}代入y^{2}=2px可得x^{2}-3px+\frac{p^{2}}{4}=0\thereforex_{1}+x_{2}=3p,x_{1}x_{2}=\frac{p^{2}}{4},由抛物线的定义可知,|AF|=x_{1}+\frac{p}{2},|BF|=x_{2}+\frac{p}{2},|_{AF}|.|_{BF}|=(x_{1}+\frac{p}{2})(x_{2}+\frac{p}{2})=x_{1}x_{2}+\frac{p}{2}(x_{1}+x_{2})+\frac{p^{2}}{4}=2p^{2}=8,解得p=2.

[3276] M是椭圆\frac{x^{2}}{25}+\frac{y^{2}}{9}=1上的点,F_{1},F_{2}是椭圆的两个焦点,\angleF_{1}MF_{2}=60^{\circ}设:|MF_{1}|=x,|MF_{2}|=y,根据余弦定理得:x^{2}+y^{2}-xy=64,由于x+y=10,求得:xy=12,所以S=\frac{1}{2}xy\sin60^{\circ}=3\sqrt{3}

[3277] a>2,则双曲线\frac{x^{2}}{a^{2}}-y^{2}=1的离心率为\frac{c}{a}=\frac{\sqrt{1+a^{2}}}{a}=\sqrt{1+\frac{1}{a^{2}}}\in(1,\frac{\sqrt{5}}{2}),

[3278] 因为双曲线方程为x^{2}-\frac{y^{2}}{3}=1,所以左焦点F_{1}(-2,0)因为直线AB的倾斜角为\frac{\pi}{6},所以直线斜率为\frac{\sqrt{3}}{3}直线AB的方程为y=\frac{\sqrt{3}}{3}(x+2)代入x^{2}-\frac{y^{2}}{3}=1可得8x^{2}-4x-13=0,x_{1}+x_{2}=\frac{1}{2},x_{1}x_{2}=-\frac{13}{8}所以\frac{\sqrt{1+3}|x_{1}-x_{2}|=-3}{2}-4(-\frac{13}{8})=3'

[3281] 由a^{2}=4,b^{2}=3可得:c^{2}=4-3=1,所以F(-1,0),B(-2,0),A(0,\sqrt{3}),C(0,-\sqrt{3})放_{k_{AB}}=\frac{\sqrt{3}}{2},k_{CF}=\frac{-\sqrt{3}-0}{0-(-1)}=-\sqrt{3},由到角公式得:\tan\angleBDF=\frac{-\sqrt{3}-\frac{\sqrt{3}}{2}}{1+\frac{\sqrt{3}}{2}\times(-\sqrt{3})}=3\sqrt{3},其中\angleBDF\in(0,\pi),所以\sin\angleBDF=\frac{3\sqrt{21}}{14}

[3283] x_{M}+1=10\Rightarrowx_{M}=9.【考点】抛物线的定义.【思路

[3284] 设P(x_{1},y_{1}),则圆心坐标为(\frac{x_{1}+1}{2},\frac{y_{1}}{2}),代入x+y-2,结合y_{1}^{2}=4x_{1},可解得P(2,2)故此圆的半径为\underline{\sqrt{(2-1)^{2}+2^{2}}}=\frac{\sqrt{5}}{2}

[3285] 如图所示,抛物线y^{2}=12x,可得焦点坐标为F(3,0),准线方程为x=-3,过点P作准线的垂线于点B,交直线x=-2于点C,则d=|PB|=|PC|-1,则|PA|+d=|PA|+|PC|-1,又由抛物线的定义可得|PC|=|PF|,所以|PA|+d=|PA|+|PF|-1,结合图象,可得当点A,P,F三点共线时,此时|PA|+|PF|取得最小值,最小值为(|PA|+|PF|)_{\min}=\sqrt{(3-1)^{2}+(0-4)^{2}}=2\sqrt{5}所以|PA|+d的最小值为2\sqrt{5}-1.

[3286] 由抛物线的方程可得焦点F的坐标及准线方程,再由F是AC的中点可得A的坐标,求出AB的方程,求出B的坐标进而求出BC的长度由题意可得抛物线的焦点F坐标为(2,0),准线方程为x=-2设直线AB的方程为x=my+2,作AM,BN,FD垂直于准线分别于M,N,D.由F为AC的中点,所以AM=2DF=4,即A的横坐标x_{A}+2=8,所以x_{A}=6,代入抛物线的方程为y=\sqrt{48}=4\sqrt{3}.所以_{k_{AB}}=\frac{4\sqrt{3}}{6-2}=\sqrt{3},所以直线AB的方程y=\sqrt{3}(x-2)联立直线与抛物线的方程:\begin{cases}y=\sqrt{3}(x-2)\\v2=8x\end{cases},整理可得3x^{2}-20x+12=0,所以6x_{B}=4,可得x_{B}=\frac{2}{3},则BF=BN=\frac{2}{3}+2=\frac{8}{3}CB=CF-BF=AF-BF=8-\frac{8}{3}=\frac{16}{3}

[3287] 因为P(2,m)为C上--因为P(2,m)为C上一点,所以m^{2}=2p\times2,即m^{2}=4p,由抛物线的定义,得\frac{d}{|PF|}=\frac{\sqrt{4+m^{2}}}{2+\frac{p}{2}}=\frac{\sqrt{4+4p}}{2+\frac{P}{2}}=\frac{8}{7},整理得(4p-5)(p-3)=0,故p=\frac{5}{4}或3.

[3288] \because椭圆方程为\frac{x2}{6}+\frac{y^{2}}{3}=1\thereforea^{2}=6,b^{2}=3\thereforea=\sqrt{6},c=\sqrt{a^{2}-b^{2}}=\sqrt{6-3}=\sqrt{3}\therefore离心率e=\frac{c}{a}=\frac{\sqrt{3}}{\sqrt{6}}=\frac{\sqrt{2}}{2}

[3289] 由余弦定理,结合椭圆的定义,可求得PF_{1},再用面积公式求解即可由题意可得a=3,c=\sqrt{9-5}=2.设|PF_{1}|=m,|PF_{2}|=n,由椭圆定义和余弦定理可得:(m+n=6|n2=m^{2}+18m\cos60^{\circ}解得m=\frac{5}{2},n=\frac{1}{2},故APF_{1}F_{2}的面积是\frac{1}{2}m|F_{1}F_{2}|\sin60^{\circ}=\frac{5\sqrt{3}}{2}

[3291] \because抛物线y^{2}=4x,\thereforeF(1,0),如图:设p在准线上的射影A',依抛物线的定义知P到该抛物线准线的距离为|PA”|=|PF|,则点P到点A(0,2)的距离与P到该抛物线准线的距离之和d=|PF|+|PA|\geqslant|AF|=\sqrt{5}

[3294] 由条件可知:两条渐近线分别为x\pm\sqrt{2}y=0设双曲线C上的点P(x,y),则点P到两条渐近线的距离分别为d_{1}=\frac{|x+\sqrt{2}y|}{\sqrt{3}},d_{2}=\frac{|x-\sqrt{2}y|}{\sqrt{3}}所以d_{1}\cdotd_{2}=\frac{|x+\sqrt{2}y|}{\sqrt{3}}.\frac{|x-\sqrt{2}y|}{\sqrt{3}}=\frac{|x^{2}-2y^{2}|}{3}=\frac{4}{3}.

[3296] 解析过程略

[3297] \frac{x^{2}}{a^{2}}-\frac{y^{2}}{3}=1的一渐近线\sqrt{3}x+ay=0,被圆(x-2)^{2}+y^{2}=4所截弦长为2所以圆心到直线距为\sqrt{3},即\frac{2\sqrt{3}}{\sqrt{3+a^{2}}}=\sqrt{3},a=1.所以双曲线的实轴长为2

[3299] 设左焦点为F_{1},P(m,n),根据已知条件列方程组,解得a=b,再根据离心率的公式可得答案.设左焦点为F_{1},P(m,n),则\frac{m^{2}}{a^{2}}-\frac{n^{2}}{b^{2}}=1\textcircled{1},因为|PO|=c,所以m^{2}+n^{2}=c^{2}\textcircled{2}联立\textcircled{1}\textcircled{2}解得n^{2}=\frac{b^{4}}{c2}\textcircled{3},因为\trianglePOF的面积为\frac{1}{2}ab,所以\frac{1}{2}cn=\frac{1}{2}ab,即n=\frac{ab}{c}\textcircled{4}联立\textcircled{3}\textcircled{4}消去n得\frac{b^{4}}{c^{2}}=\frac{a2b^{2}}{c^{2}},化简得a=b,所以离心率e=\frac{c}{a}=\sqrt{\frac{c^{2}}{a^{2}}}=\sqrt{\frac{2a^{2}}{a^{2}}}=\sqrt{2}

[3301] 已知渐近线方程为y=\pm4x,可得到\frac{b}{a}=4,e=\sqrt{\frac{c^{2}}{a^{2}}}=\sqrt{1+\frac{b^{2}}{a^{2}}}=\sqrt{17}.

[3302] 由对称性,不妨设点P在x轴的上方|PF_{3}|=x_{P}+\frac{1}{4}=\frac{9}{4},所以x_{P}=2,即P(2,\sqrt{2})代入椭圆方程解得a^{2}=8,所以c^{2}=a^{2}-b^{2}=8-4=4,即c=2所以|F_{1}F_{2}|=4,S_{\DeltaPF}F_{1}=\frac{1}{2}\times4\times\sqrt{2}=2\sqrt{2}

[3304] 由抛物线的定义知,P到抛物线焦点的距离等于其到抛物线准线x=-\frac{p}{2}的距离,所以,2+\frac{p}{2}=4,p=4,y^{2}=8x,m=4,故圆心为P(2,4),与抛物线相切的圆的方程为(x-2)^{2}+(y-4)^{2}=16.

[3306] 已知F(\frac{P}{2},0),设x=my+\frac{p}{2},A(x_{1},y_{1}),B(x_{2},y_{2})则\begin{cases}x=my+\frac{p}{2}\\y^{2}=2px\end{cases}\Rightarrowy^{2}-2pmy-p^{2}=0,\because\triangle>0,所以y_{1}+y_{2}=2pm,y_{1}y_{2}=-p^{2},\therefore|AB|=\sqrt{1+m^{2}}\cdot|y_{1}-y_{2}|=\sqrt{1+m^{2}}\cdot\sqrt{(y_{1}+y_{2})^{2}-4y_{1}y_{2}}=2p(1+m^{2})\geqslant2p,当且仅当m=0时,取“=).\therefore2p=6\Rightarrowp=3.

[3307] 设PF_{1}与圆相切于点M,因为|PF_{2}|=|F_{1}F_{2}|,所以\trianglePF_{1}F_{2}为等腰三角形,N为PF_{1}的中点,所以|F_{1}M|=\frac{1}{4}|PF_{1}|,又因为在直角\triangleF_{1}MO中,|F_{1}M|^{2}=|F_{1}O|^{2}-a^{2}=c^{2}-a^{2},所以F_{1}M|=b=\frac{1}{4}|PF_{1}|\textcircled{1}又|PF_{1}|=|PF_{2}|+2a=2c+2a\textcircled{2},c^{2}=a^{2}+b^{2}\textcircled{3}由\textcircled{1}\textcircled{2}\textcircled{3}可得c^{2}-a^{2}=(\frac{c+a}{2})^{2}即为4(c-a)=c+a,即3c=5a解得e=\frac{c}{a}=\frac{5}{3}.

[3310] 由抛物线已知,过点,\therefore已得:p=2\thereforey^{2}=4x

[3311] 设A(x_{1},y_{1}),B(x_{2},y_{2})则\begin{cases}\frac{x_{1}2}{36}+\frac{y_{1}}{9}=1\\\frac{x_{2}}{36}+\frac{y_{2}}{9}=1\end{cases},两式相减可得\frac{(x_{1}+x_{2})(x_{1}-x_{2})}{36}+\frac{(y_{1}+y_{2})(y_{1}-y_{2})}{9}=因为P(4,2)为线段AB的中点,所以\frac{x_{1}+x_{2}}{2}=4,\frac{y_{1}+y_{2}}{2}=2^{,}代入上式,则\frac{8(x_{1}-x_{2})}{36}+\frac{4(y_{1}-y_{2})}{9}=0^{,}整理可得k_{AB}=\frac{y_{1}^{2}-y_{2}}{2}=-\frac{1}{2}.

[3312] 双曲线x^{2}\cdot2y^{2}=16,化为标准方程为\frac{x^{2}}{16}\cdot\frac{y^{2}}{8}=1,即可求得实轴长.双曲线x^{2}-2y^{2}=16,化为标准方程为\frac{x^{2}}{16}\cdot\frac{y^{2}}{8}=1\thereforea^{2}=16,\thereforea=4,\therefore2a=8,即双曲线x^{2}\cdot2y^{2}=16的实轴长是8.

[3313] 由题意,双曲线\frac{x^{2}}{a^{2}}-\frac{y^{2}}{2}=1(a>0),可得c=\sqrt{a^{2}+2}因为双曲线的离心率为2,可得e=\frac{c}{a}=\frac{\sqrt{a^{2}+2}}{a}=2^{n}解得a=\frac{\sqrt{6}}{3}所以实数a的值为\frac{\sqrt{6}}{3}

[3314] 由椭圆的焦点在x轴上,a=5,b=2,\therefore|AF_{1}|+|AF_{2}|=2a=10,|BF_{1}|+|BF_{2}|=2a=10,\therefore\DeltaABF_{2}的周长为|AB|+|AF_{2}|+|BF_{2}|=(|AF_{1}|+|AF_{2}|)+(|BF_{1}|+|BF_{2}|)=4a=20

[3315] 由题意设出直线l的方程,与椭圆方程联立,化为关于y的一元二次方程,利用根与系数的关系求得|y_{1}-y_{2}|,代入三角形面积公式,换元后求值\because直线l过点E(1,0),可设直线l的方程为x=my+1,则\begin{cases}\frac{x^{2}}{4}+y^{2}=1\\x=my+1,\end{cases}消元得:(m^{2}+4)y^{2}+2my-3=0.由A=(2m)^{2}+12(m^{2}+4)>0.设A(x_{1},y_{1}),B(x_{2},y_{2}),设g(t)=t+\frac{1}{t},t=\sqrt{m^{2}+3},t\geqslant\sqrt{3}.则g(t)在区间[\sqrt{3},+\infty)上为增函数,\thereforeg(t)\geqslant\frac{4\sqrt{3}}{3},当且仅当m=0时取等号,即(S_{\DeltaAOB})_{\max}=\frac{\sqrt{3}}{2}\therefore\triangleAOB的面积的最大值为\frac{\sqrt{3}}{2}了方法

[3316] 由已知,可得a^{2}=b^{2}=4,所以a=2,c=\sqrt{a^{2}+b^{2}}=2\sqrt{2}所以e=\frac{c}{a}=\sqrt{2}均终安为.

[3317] 由椭圆焦点在x轴上知a+7>a^{2}+1,即可求实数a的取值范围.[详解]由题意知:a+7>a^{2}+1,整理得a^{2}-a-6<0\therefore-2<a<3,

[3318] 由椭圆\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)离心率为\frac{\sqrt{6}}{3}可得:\frac{c}{a}=\frac{\sqrt{6}}{3}又a^{2}=b^{2}+c^{2},代入上式整理得:a^{2}=3b^{2}由\overrightarrow{PF_{1}}\cdot\overrightarrow{PF_{2}}=0得APF_{1}F_{2}为直角三角形,又\trianglePF_{1}F_{2}的面积为4设|PF_{1}|=m,|PF\begin{matrix}m^{2}+n=(2c)^{2}&m\\\frac{1}{2}|=n,则|\frac{m+n}{2}m=2a|&解得:a^{2}=12,b^{2}=4所以椭圆的方程为:\frac{x^{2}}{12}+\frac{y^{2}}{4}=1.

[3324] 设双曲线方程为mx^{2}+ny^{2}=1,因为双曲线经过点(-\sqrt{2},\sqrt{3}),(\frac{\sqrt{15}}{3},\sqrt{2})所以,\begin{cases}2m+3n=1\\\frac{5}{3}m+2n=1\end{cases}\Rightarrow\begin{cases}m\\n\end{cases}则双曲线方程为x^{2}-\frac{y^{2}}{3}=1,故答案x^{2}-\frac{y^{2}}{3}=1】本题主要考查双曲线的方程,意在考查对基础知识的掌握情况,属于基础题

[3327] 方程\frac{x^{2}}{1+m}-\frac{y^{2}}{m-2}=1表示双曲线,可得(1+m)(m-2)>0,解得m<-1或m>2.

[3328] 若直线AB与x轴重合,则直线AB与抛物线C只有一个交点,不合乎题意易知抛物线C的焦点为F(\frac{1}{2},0),准线方程为x=-\frac{1}{2}.设点A(x_{1},y_{1})、B(x_{2},y_{2}),设直线AB的方程为x=my+\frac{1}{2}联立\begin{cases}x=my+\frac{1}{2}\\y2=2x\end{cases},整理可得y^{2}-2my-1=0,a=4m^{2}+4>0,由韦达定理可得y_{1}+y_{2}=2m,y_{1}y_{2}=-1,\frac{1}{+\frac{1}{2}}=\frac{1}{my_{1}+1}+\frac{1}{my_{2}+1}=\frac{m(y_{1}}{(my_{1}+1}=\frac{2m2+2}{-m^{2}+2m^{2}+1}=2,^{1}|_{+4|BF|=\frac{1}{2}}(|AF|+4|BF|)(\frac{1}{|AF|}+\frac{1}{|BF|})=\frac{1}{2}(5+\frac{|AF|}{|BF|}+\frac{4|BF|}{|AF|})\geqslant\frac{1}{2}(5+2\sqrt{\frac{|AF|}{|BF}\cdot\frac{4|}{|A}}\frac{|BF|}{|AF|})=\frac{9}{2}.当且仅当|AF|=2|BF|时,等号成立,因此,|AF|+4|BF|的最小值为\frac{9}{2}

[3329] 根据题意画图如下:由双曲线定义可得:|AF_{2}|-|AF|=2a,|BF_{2}|-|BF_{1}|=2a.\therefore|AF_{2}|+|BF_{2}|=4a+(|AF|+|BF_{1}|)=4a+|AB|.又已知|AF_{2}|+|BF_{2}|=2|AB|\therefore2|AB|=4a+|AB|,得|AB=4a

[3330] 首先求出抛物线的准线方程,根据抛物线的定义到焦点的距离等于到准线的距离,得到方程,解得即可;[详解]抛物线y=ax^{2},即x^{2}=\frac{1}{a}y,准线方程为y=-\frac{1}{4a}点A(m,2)到焦点的距离为3,所以2-(-\frac{1}{4a})=3,解得a=\frac{1}{4}

[3331] 设x=1+ty代入y^{2}=4x得y^{2}-4ty-4=0,则y_{1}+y_{2}=4t,y_{1}y_{2}=-4,所以x_{1}+x_{2}=2+t(y_{1}+y_{2})=2+4t^{2},又因为x_{1}+x_{2}+2=8,即x_{1}+x_{2}=6,也即2+4t^{2}=6所以t=\pm1.不妨设t=1,则y^{2}-4y-4=0,解之得y=2\pm2\sqrt{2}.当y=2+2\sqrt{2}时,x=3+2\sqrt{2};则k_{1}=\frac{2+2\sqrt{2}}{3+2\sqrt{2}+1}=\frac{1}{\sqrt{2}},当y=2-2\sqrt{2}时,x=3-2\sqrt{2},则k_{2}=\frac{2-2\sqrt{2}}{3-2\sqrt{2}+1}=-\frac{1}{\sqrt{2}},所以\tan\angleAMB=\frac{\frac{2}{\sqrt{2}}}{1-\frac{1}{2}}=2\sqrt{2}.

[3332] 过P作准线的垂线,垂足为S,连接MS,过M作准线的垂线,垂足为T.利用抛物线的几何性质可得|MP|+|PF|=|MP|+|PS|,从而可得|MP|+|PF|的最小值为3且可得取最小值时P的坐标抛物线的准线为y=-2,过P作准线的垂线,垂足为S,连接MS.过M作准线的垂线,垂足为T由抛物线的定义可知|PF|=|PS|又|MP|+|PF|=|MP|+|PS|\geqslant|MS|\geqslant|MT|=3,此时M,P,T三点共线即P(-4,2)故\trianglePMF周长最小时点P的坐标为(-4,2)

[3333] 由题意知点B在AM之间,设直线/的倾斜角为\theta,如图即\angleAFx=\theta,由于|AF|=|BM|则|MF|=|AB|=2+\sqrt{5},而|MF|=\frac{|OF|}{\cos\angleOFM},|AB|=\frac{2p}{\sin^{2}\theta}即\frac{p}{2\cos\theta}=\frac{2p}{cin2}=2+\sqrt{5},由\frac{2\cos\theta}{2\cos\theta}=\frac{\sin^{2}\theta}{\sin^{2}\theta}可得\cos^{2}\theta+4\cos\theta-1=0,解得\cos\theta=\sqrt{5}-2或\cos\theta=-\sqrt{5}-2(舍去)故p=2\cos\theta\cdot(2+\sqrt{5})=2

[3334] 因为抛物线方程为y=-\frac{1}{4}x^{2},即x^{2}=-4y,所以2p=-4,\frac{p}{2}=-1,所以抛物线的焦点坐标为(0,-1).

[3337] 由题:\frac{x^{2}}{4}+y^{2}=1,可分别设过中点的弦与椭圆的两个交点坐标分别为:(x_{1},y_{1}),(x_{2},y_{2})代入椭圆的得:\frac{x_{1}2}{4}+y_{1}=1,\frac{x_{2}2}{4}+y_{2}2=1.两式相减得:\frac{1}{4}(x_{1}+x_{2})(x_{1}-x_{2})=(y_{1}+y_{2})(y_{2}-y_{1}),k=\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=-\frac{1}{4}(\frac{x_{1}+x_{2}}{y_{1}+y_{2}})另由中点坐标公式:x_{1}+x_{2}=2,y_{1}+y_{2}=1,则:k=-\frac{1}{2}故中点弦的直线方程为:y-\frac{1}{3}=-\frac{1}{3}(x-1),x+2y-2=0

[3338] 设A,B的坐标分别为(x_{1},y_{1})和(x_{2},y_{2}),\because线段AB的垂直平分线与x轴相交点P(x_{0},0),\thereforeAB不平行于y轴,即x_{1}\neqx_{2},又|PA|=|PB|,即(x_{1}-x_{0})^{2}+y_{1}^{2}=(x_{2}-x_{0})^{2}+y_{2}^{2},得(x_{1}-x_{2})(x_{1}+x_{2}-2x_{0})=y_{2}^{2}-y_{1}^{2},\becauseA,B是抛物线上的两点,\thereforey_{1}^{2}=2x_{1},y_{2}^{2}=2x_{2},代入上式,得x_{0}=1+\frac{x_{1}+x_{2}}{2},\becausex_{1}\geqslant0,x_{2}\geqslant0,x_{1}\neqx_{2}.x_{1}+x_{2}>0,即x_{0}>1,

[3339] 首先根据椭圆C_{1}与双曲线C_{2}有相同的焦点得到n=-1,从而得到椭圆C_{1}:\frac{x2}{m+2}+y^{2}=1,e^{2}=1-\frac{1}{m+2},再求其范围即可.椭圆C_{1}:\frac{x^{2}}{m+2}+\frac{y^{2}}{-n}=1,双曲线C_{2}:\frac{x^{2}}{m}-\frac{y^{2}}{-n}=1因为椭圆C_{1}与双曲线C_{2}有相同的焦点,所以m+2-(-n)=m-n,解得n=-1所以椭圆C_{1}:\frac{x^{2}}{m+2}+y^{2}=1,e^{2}=\frac{m+}{m}因为m>0,m+2>2,所以0<\frac{1}{m+2}所以\frac{1}{2}<1-\frac{1}{m+2}<1,即\frac{1}{2}<e^{2}<1,\frac{\sqrt{2}}{2}<e<1故答案)(\sqrt{2}

[3340] 设点P_{3}(x_{2},-y_{2}),则\overrightarrow{OP_{1}}\cdot\overrightarrow{OP_{3}}=x_{1}x_{2}-y_{1}y_{2}>0,则\overrightarrow{OP_{1}}=\overrightarrow{OP_{3}}或\angleP_{1}OP_{3}为锐角,设点M为双曲线的渐近线y=\frac{1}{a}x王第一象限内的一点,设点N为双曲线的渐近线y=-\frac{1}{a}x在第四象限内的一点由题意可知,0<\angleMON\leqslant\frac{\pi}{2},则0<\frac{1}{a}\leqslant\tan\frac{\pi}{4}=1,解得a\geqslant1

[3341] 利用抛物线的性质,得到|AF|=3|BF|,进而得到|AB|=|AF|+|BF|=\frac{8}{3},最后,联立方程和|AB|=x_{1}+x_{2}+p=\frac{8}{3},利用韦达定理消参,进而求出p即可过点A,B向抛物线的准线x=-\frac{p}{2}作垂足分别为C,D,过点B向AC作垂线,垂足为E,\becauseA,B两点在抛物线上,\therefore|AC|=|AF|,|BD|=|BF|.\becauseBE\botAC,\therefore|AE|=|AF|-|BF|,\because直线AB的倾斜角为60^{\circ},\therefore在Rt\triangleABE中,2|AE|=|AB|=|AF|+|BF|,即2(|AF|-|BF|)=|AF|+|BF|,\therefore|AF|=3|BF|.\because|AF|=2,\therefore|BF|=\frac{2}{3},\therefore|AB|=|AF|+|BF|=\frac{8}{3}设直线AB的方程为y=\sqrt{3}(x-\frac{p}{2}),代入y^{2}=2px,得3x^{2}-5px+\frac{3p^{2}}{4}=0,设A(x_{1},y_{1}),B(x_{2},y_{2}),\thereforex_{1}+x_{2}=\frac{5p}{3},\because|AB|=x_{1}+x_{2}+p=\frac{8}{3},\thereforep=1

[3342] 设\trianglePF_{1}F_{2}的内切圆的半径为r,I为\trianglePF_{1}F_{2}的内心,S_{\trianglePIF_{1}}+S_{\trianglePIF_{2}}=\lambdaS_{\triangleF_{1}IF_{2}}所以\frac{1}{2}r|PF_{1}|+\frac{1}{2}r|PF_{2}|=\frac{1}{2}\lambda|F_{1}F_{2}|,\therefore|PF_{1}|+|PF_{2}|=\lambda|F_{1}F_{2}|,因为P为椭圆\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)上任意一点,F_{1},F_{2}分别为椭圆的左、右焦点,由椭圆的定义得|PF_{1}|+|PF_{2}|=2a,得2a=\lambda\times2\sqrt{a^{2}-b^{2}}\therefore\lambda=\frac{a}{\sqrt{a^{2}-b^{2}}}

[3343] 设A(x_{1},y_{1}),B(x_{2},y_{2}),则x_{1}+x_{2}=2,y_{1}+y_{2}=4,则\begin{cases}x_{1}^{2}-\frac{y_{2}}{2}=1\\x_{2}-\frac{y_{2}2}{2}=1\end{cases},两式相减得(x_{1}-x_{2})(x_{1}+x_{2})=\frac{1}{2}(y_{1}-y_{2})(y_{1}+y_{2})k_{AB}=\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=2\times\frac{x_{1}+x_{2}}{y_{1}+y_{2}}=2\times\frac{2}{4}=2\times\frac{1}{2}=1,所以直线AB的方程为y-2=x-1即y=x+1.代入x^{2}-\frac{y^{2}}{2}=1满足4>0,所以直线AB的方程为y=x+1.

[3346] 首先利用抛物线的定义,将抛物线上的点到y轴的距离转化为其到抛物线的焦点的距离减1,从而将其转化为求抛物线的焦点到直线4x-3y+8=0的距离减1,从而求得结果|PA|+|PB|=(|PH|-1)+|PB|=(|PF|+|PB|)-1\geqslantd_{F\rightarrow1}-1=\frac{12}{5}-1=\frac{7}{5}故答案是:\frac{7}{5}

